Question,Option_A,Option_B,Option_C,Option_D,Answer
Who was the first to identify cell protoplasm?,N. Gryu in 1671,A. Leeuwenhoek in 1680,Ya. Purkinje in 1839,R. Brown in 1831,C
Who was the first to define the nucleus?,A. Leeuwenhoek in 1680,R. Brown in 1831,N. Grew in 1671,J. Purkinye in 1839,B
What is included in the cell?,"Cell wall, nucleus","Cell wall, protoplasm and nucleus","Cell wall, plastid, protoplasm and nucleus","Cell wall, cytoplasm and nucleus, nucleolus",B
Which German scientists created the cell theory?,Schleiden and Schwann in 1839,A. Leeuwenhoek and Schwann in 1849,Schleiden and Grew in 1839,J. Purkin and Schleiden in 1849,A
"Which scientist was the first to study animals, identify their species, classify them, and put forward ideas of development and harmony in nature?","R. Virchow, 500 species","Darwin, 500 species","A. Levenguk, 510 species","Aristotle, 510 species",D
Which scientist first identified the virus?,Flemming in 1842,R. Brown in 1831,D.I. Ivanovsky in 1892,J. Purkinye in 1839,C
On which plant were viruses first discovered?,Chinar,Tobacco leaves,Chamomile,Datura,B
"The shell of viruses, consisting of proteins and lipids",Biomolecular phospholipids,Glycolipid,Supercapsid,Biopolymer phospholipids,C
How long does it take for bacteria to divide?,Every 20 minutes,Every 2 hours,Every 1 hour _,Every other 30 minutes,A
What substances does the cell membrane conduct?,"water, ions and necessary substances",Protein carries fats,"Conducts proteins, fats, ions","Transports protein, fats and unwanted substances",A
"Which cell consists of cytoplasm and nucleus, each cell is surrounded by a plasma membrane - plasmalemma.",bacterial cell,Eukaryotic cell,Blue-green algae,Prokaryotic cell,B
What is the diameter of most eukaryotic cells?,100-1000 microns,10-100 µm,50-1000 µm,10-100000 microns,B
What functions does the outer shell of a eukaryotic cell perform?,Protective Barrier,Transport transfer,Receptor function,All answers are correct,D
What is the thickness of the plasma (cytoplasmic) membrane of eukaryotes?,7-12 nm,20-24 nm,50-60 nm,10-100 nm,A
"Define the function of the plasma membrane of eukaryotes. Separates the cell 1- from the environment, 2- Transports water, ions and necessary substances, 3- Unnecessary substances that must leave the cell are released through this membrane",2.3,"1,2,3",1.2,1.3,B
"When viewed through an electron microscope, the layers of the plasmalemma are determined","2; inner and outer are dense, thicker","4; internal, external, middle, vascular",lipid double layer,"It consists only of a dense, thicker 1 layer",C
Which layer of the plasma membrane appears dark under electron microscopy?,Protein and lipid,Carbohydrate _,Protein,Lipid _,C
looks light under electron microscopy?,Glycolipid,Biomolecular phospholipids,Nucleoprotein,Biopolymer phospholipids,B
What are the different membrane proteins of eukaryotes?,"Integral, semi-integral and peripheral","Integral, semi-integral, peripheral, endopheric","Integral, semi- integral",Integral and peripheral,A
What layer do peripheral proteins form?,Forms a muscle layer,Forms a biomolecular layer,Does not form a continuous layer,Forms a denser and thicker layer,C
Which proteins are completely absorbed into the membrane layer?,Integral proteins,endopheric,Semi-integral proteins,Peripheral,A
Which proteins do not penetrate the membrane completely.,Integral proteins,Semi-integral proteins,endopheric,Peripheral,B
How do substances pass through a membrane?,By changing the shape of the membrane (conformation),"Due to direct transport, motor transport and due to changes in the shape of the membrane",Through direct transport (without the participation of carriers),By road (using a carrier),B
Types of transport (in the presence of carriers) when substances pass through the membrane?,2 types: endogenous and exogenous,2 types: mono and poly,2 types: passive and active,2 types : temporary and permanent,C
What role does the cell membrane play in the movement of matter and ions?,Barrier new,Turgor noyu,Control of cell division,Reproduction,A
Is the internal environment of a cell different from the environment of a cell?,Is different,It does not matter,Similar,Is not different,A
